City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
197,Batticaloa,LK,7.7102,81.6924,79.9,76,97,6.4,overcast clouds
198,Jacmel,HT,18.2342,-72.5347,84.04,83,23,1.21,few clouds
199,Tasiilaq,GL,65.6145,-37.6368,42.96,89,100,27.58,moderate rain
200,Aktash,RU,50.3,87.7333,38.86,75,1,3.51,clear sky
201,Olesnica,PL,51.2134,17.3899,50.0,93,75,6.91,broken clouds
202,Iqaluit,CA,63.7506,-68.5145,26.33,80,75,20.71,broken clouds
203,Dalby,AU,-27.1833,151.2667,56.1,48,98,12.82,overcast clouds
204,Longyearbyen,SJ,78.2186,15.6401,31.84,59,20,13.8,few clouds
205,Wanning,CN,18.8003,110.3967,85.59,76,96,12.35,overcast clouds
206,Beboto,TD,8.2668,16.939,76.78,65,16,1.01,light rain
207,Provideniya,RU,64.3833,-173.3,46.67,38,8,11.36,clear sky
208,Kearney,US,40.6995,-99.0815,59.56,71,90,8.05,overcast clouds
209,Nizhniy Kuranakh,RU,58.8353,125.4869,58.23,59,46,1.19,scattered clouds
210,Nanortalik,GL,60.1432,-45.2371,36.36,92,100,10.29,light rain
211,Quelimane,MZ,-17.8786,36.8883,61.61,92,0,4.63,clear sky
212,Langsa,ID,4.4683,97.9683,74.77,94,100,2.71,overcast clouds
213,Sorland,NO,67.667,12.6934,43.7,82,22,4.32,few clouds
214,Salalah,OM,17.0151,54.0924,82.4,89,20,2.3,few clouds
215,Kahului,US,20.8947,-156.47,87.82,57,40,21.85,scattered clouds
216,Sobolevo,RU,54.4299,31.8996,53.67,84,100,7.27,light rain
217,Tilichiki,RU,60.4667,166.1,41.05,74,100,5.93,overcast clouds
218,Mount Isa,AU,-20.7333,139.5,65.97,26,14,17.27,few clouds
219,Tazovskiy,RU,67.4667,78.7,27.93,82,29,9.06,scattered clouds
220,Chokurdakh,RU,70.6333,147.9167,54.0,36,79,16.02,broken clouds
221,North Platte,US,41.1239,-100.7654,63.0,65,90,7.0,overcast clouds
222,Buchanan,LR,5.8808,-10.0467,78.76,87,72,7.61,broken clouds
223,Tuktoyaktuk,CA,69.4541,-133.0374,30.2,74,90,10.36,overcast clouds
224,Aqtobe,KZ,50.2797,57.2072,69.89,28,0,11.18,light rain
225,Bay Roberts,CA,47.5999,-53.2648,44.15,67,9,10.0,clear sky
226,Port Hardy,CA,50.6996,-127.4199,51.98,76,75,11.5,broken clouds
227,Necochea,AR,-38.5473,-58.7368,52.03,66,35,24.0,scattered clouds
228,San Patricio,US,28.017,-97.5169,83.12,76,81,16.46,broken clouds
229,Cravo Norte,CO,6.3017,-70.2041,76.3,91,73,5.21,broken clouds
230,Sorong,ID,-0.8833,131.25,80.33,88,15,11.05,few clouds
231,Khatanga,RU,71.9667,102.5,41.97,74,99,13.69,overcast clouds
232,Nyurba,RU,63.2842,118.3319,61.59,47,18,5.61,few clouds
233,Caceres,ES,39.522,-6.3748,68.0,67,31,1.99,scattered clouds
234,Bose,IT,45.4612,8.0137,63.0,66,98,4.32,overcast clouds
235,Lagoa,PT,39.05,-27.9833,61.74,75,62,8.57,broken clouds
236,Karasjok,NO,69.4719,25.5112,33.91,78,74,11.1,broken clouds
237,Kieta,PG,-6.2167,155.6333,78.73,90,100,2.93,moderate rain
238,Honningsvag,NO,70.9821,25.9704,36.68,66,100,22.21,overcast clouds
239,Vardo,NO,70.3705,31.1107,35.6,73,95,26.17,overcast clouds
240,Port Lincoln,AU,-34.7333,135.8667,58.44,68,25,12.95,scattered clouds
241,College,US,64.8569,-147.8028,48.2,36,75,12.66,broken clouds
242,Codrington,AU,-38.2667,141.9667,48.85,72,11,3.29,few clouds
243,Barrow,US,71.2906,-156.7887,30.22,86,90,5.75,overcast clouds
244,Banjar,ID,-8.19,114.9675,80.6,94,75,9.22,broken clouds
245,Hasaki,JP,35.7333,140.8333,73.8,73,100,20.0,overcast clouds
246,La Ronge,CA,55.1001,-105.2842,62.82,51,75,13.8,broken clouds
247,Sosnovo-Ozerskoye,RU,52.5249,111.5418,55.78,39,100,6.04,overcast clouds
248,Neuquen,AR,-38.9516,-68.0591,55.29,44,20,18.41,few clouds
249,Tabou,CI,4.423,-7.3528,79.93,85,53,7.61,broken clouds
250,Seymchan,RU,62.8833,152.4333,48.2,52,100,17.4,overcast clouds
251,Mombetsu,JP,44.3525,143.3525,59.0,67,75,19.57,broken clouds
252,Adrar,MR,20.5022,-10.0711,89.71,14,62,12.53,broken clouds
253,Anadyr,RU,64.75,177.4833,45.1,45,0,5.99,clear sky
254,Lorengau,PG,-2.0226,147.2712,83.05,81,79,10.8,broken clouds
255,Mariental,NA,-24.6333,17.9667,56.97,31,8,7.36,clear sky
256,Alice Springs,AU,-23.7,133.8833,53.15,54,0,17.16,clear sky
257,Jixi,CN,45.3,130.9667,62.67,62,37,2.28,scattered clouds
258,Batemans Bay,AU,-35.7167,150.1833,54.91,49,6,12.82,clear sky
259,Geraldton,AU,-28.7667,114.6,68.41,83,90,13.11,light rain
260,Kushima,JP,31.4583,131.2333,71.64,66,100,7.92,overcast clouds
261,Nouadhibou,MR,20.931,-17.0347,68.0,77,100,12.66,overcast clouds
262,Upernavik,GL,72.7868,-56.1549,31.12,92,100,8.39,overcast clouds
263,Winona,US,43.9666,-91.7668,56.39,47,1,6.4,clear sky
264,San Cristobal,VE,7.7669,-72.225,69.98,97,88,1.34,overcast clouds
265,Yeppoon,AU,-23.1333,150.7333,69.58,62,100,16.15,overcast clouds
266,Evensk,RU,61.95,159.2333,43.5,67,100,7.09,overcast clouds
