City_ID,City,Country,Max Temp,Current Description,Lat,Lng,Hotel Name
600,Fuerte Olimpo,PY,85.26,clear sky,-21.0415,-57.8738,Hospedaje DAMI
602,Pilar,BR,76.93,broken clouds,-9.5972,-35.9567,Pousada e churrascaria Manguaba
604,Mongo,TD,86.45,overcast clouds,12.1844,18.693,Résidences du Programme FIDA
605,Biak,ID,81.32,scattered clouds,-0.9131,122.8766,Penginapan Kim
607,Pimenta Bueno,BR,77.43,overcast clouds,-11.6725,-61.1936,Cristalina Palace Hotel
616,Pochutla,MX,82.22,overcast clouds,15.7432,-96.4661,Hotel Posada San Jose
619,Port Moresby,PG,83.62,few clouds,-9.4431,147.1797,Lamana Hotel
624,Peraiyur,IN,82.04,overcast clouds,9.7358,77.7896,OYO 67022 Crescent Lodge
631,Pecos,US,89.31,clear sky,31.4229,-103.4932,Knights Inn Pecos
632,Longhua,CN,85.73,overcast clouds,23.6137,114.1919,Huadu Hotel
635,Zhangye,CN,75.83,overcast clouds,38.9342,100.4517,Zhangye Lvzhou Holiday Inn
637,Ambon,ID,77.14,broken clouds,-3.6954,128.1814,Swiss-Belhotel Ambon
638,Bushehr,IR,86.09,clear sky,28.9684,50.8385,Yas Hotel
641,Umm Lajj,SA,86.76,overcast clouds,25.0213,37.2685,Moon light Furnished Units
645,Nago,JP,82.45,overcast clouds,26.5881,127.9761,Hotel Yugaf Inn Okinawa
647,Itaituba,BR,75.78,overcast clouds,-4.2761,-55.9836,Hotel Campos
649,Sabang,ID,84.09,overcast clouds,5.8933,95.3214,Hotel Citra
655,Bucerias,MX,82.4,few clouds,20.75,-105.3333,Villa del Palmar Flamingos Beach Resort & Spa Riviera Nayarit
661,Tomatlan,MX,80.85,overcast clouds,19.9333,-105.25,Norma franco
662,Eydhafushi,MV,83.41,scattered clouds,5.1033,73.0708,Soneva Fushi
663,Meadow Lake,US,87.71,clear sky,34.8014,-106.5436,JKL Inc. R.V Park and Storage
667,La Asuncion,VE,80.33,overcast clouds,11.0333,-63.8628,Colinas de Matasiete
668,Maceio,BR,78.24,scattered clouds,-9.6658,-35.7353,Poutur Pousada
670,Manaus,BR,80.6,clear sky,-3.1019,-60.025,Manaus Hotéis Millennium
674,Viet Tri,VN,85.95,broken clouds,21.3019,105.4308,Trung tâm Hội nghị tỉnh Phú Thọ
679,Kamogata,JP,75.38,clear sky,34.5333,133.5833,Guest House Kominkaen
684,Tooele,US,77.65,clear sky,40.5308,-112.2983,"Holiday Inn Express & Suites Tooele, an IHG Hotel"
687,Ugoofaaru,MV,83.17,clear sky,5.6667,73.0,Ungoofaaru Inn
692,Cagsiay,PH,85.51,broken clouds,14.2167,121.75,"Sitio Maligaya, Barangay Cagsiay I"
693,Arlit,NE,86.13,broken clouds,18.7369,7.3853,Case de Passage De la Prefecture
699,Provo,US,82.49,clear sky,40.2338,-111.6585,Provo Marriott Hotel & Conference Center
704,Champasak,LA,79.68,overcast clouds,14.75,106.0,Kiat Ngong Wetland BUNGALOW
