City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed
243,Sargatskoye,RU,2021-05-26 01:47:32,55.6101,73.4972,70.72,64,5,7.16
244,Raudeberg,NO,2021-05-26 01:47:32,61.9875,5.1352,50.86,85,98,12.19
245,Sungaipenuh,ID,2021-05-26 01:47:32,-2.0833,101.3833,73.2,81,97,2.53
246,Irbil,IQ,2021-05-26 01:47:33,36.1926,44.0106,68.7,46,3,5.59
247,Skhisma,GR,2021-05-26 01:47:33,35.2667,25.7167,72.16,50,0,7.94
248,Aranda De Duero,ES,2021-05-26 01:47:33,41.6704,-3.6892,50.31,69,100,7.65
249,Airai,TL,2021-05-26 01:47:33,-8.9266,125.4092,72.18,54,15,5.23
250,Hami,CN,2021-05-26 01:47:34,42.8,93.45,80.91,12,0,7.85
251,Tasgaon,IN,2021-05-26 01:47:34,17.0333,74.6,75.81,80,99,13.53
252,Burgeo,CA,2021-05-26 01:47:34,47.6167,-57.6152,43.27,96,100,15.75
253,Nguruka,TZ,2021-05-26 01:47:35,-5.1092,31.0419,60.24,80,32,1.9
254,Longyearbyen,SJ,2021-05-26 01:45:04,78.2186,15.6401,28.24,80,75,14.97
255,San Juan Del Sur,NI,2021-05-26 01:47:35,11.2529,-85.8705,81.9,79,100,21.5
256,Ciechanow,PL,2021-05-26 01:47:35,52.8814,20.62,50.59,94,99,12.33
257,Adelaide,AU,2021-05-26 01:45:04,-34.9333,138.6,63.52,55,40,8.01
258,Inzer,RU,2021-05-26 01:47:36,54.2167,57.5556,57.67,91,99,5.23
259,Pokhara,NP,2021-05-26 01:47:36,28.2333,83.9833,75.09,75,100,2.01
260,Huescar,ES,2021-05-26 01:47:37,37.811,-2.5412,55.94,88,0,5.01
261,Port Lincoln,AU,2021-05-26 01:47:37,-34.7333,135.8667,59.83,55,98,14.54
262,Wasilla,US,2021-05-26 01:42:45,61.5814,-149.4394,75.18,23,1,8.05
263,Aloleng,PH,2021-05-26 01:47:39,16.1307,119.7824,86.41,64,11,3.74
264,Caraballeda,VE,2021-05-26 01:47:39,10.6112,-66.8522,81.37,74,67,8.97
265,Necochea,AR,2021-05-26 01:47:39,-38.5473,-58.7368,45.84,55,63,10.16
266,Saint George,US,2021-05-26 01:45:04,37.1041,-113.5841,90.07,10,1,1.01
267,Yovon,TJ,2021-05-26 01:47:39,38.3141,69.0378,69.48,50,52,6.13
268,Athabasca,CA,2021-05-26 01:47:40,54.7169,-113.2854,58.03,52,100,4.29
269,Aripuana,BR,2021-05-26 01:47:40,-9.1667,-60.6333,77.18,75,88,2.17
270,Petropavlovsk-Kamchatskiy,RU,2021-05-26 01:47:40,53.0452,158.6483,48.79,57,40,12.66
271,Fortuna,US,2021-05-26 01:47:41,40.5982,-124.1573,64.47,68,40,7.0
272,Kuytun,RU,2021-05-26 01:47:41,54.3419,101.5036,47.28,74,100,9.51
273,Sinegorye,RU,2021-05-26 01:47:41,62.0788,150.477,39.38,92,100,6.26
274,Kyshtovka,RU,2021-05-26 01:47:42,56.555,76.6271,67.84,62,24,6.26
275,Kurchum,KZ,2021-05-26 01:47:43,48.5722,83.6542,74.7,41,1,8.79
276,Lujan,AR,2021-05-26 01:47:43,-34.5703,-59.105,53.98,76,3,1.28
277,Kieta,PG,2021-05-26 01:47:43,-6.2167,155.6333,81.63,85,100,7.85
278,Bayshore Gardens,US,2021-05-26 01:47:43,27.4253,-82.5904,79.03,72,1,8.05
279,Nizhniy Kuranakh,RU,2021-05-26 01:47:44,58.8353,125.4869,53.46,55,100,6.8
280,San Policarpo,PH,2021-05-26 01:47:44,12.1791,125.5072,85.3,68,100,4.54
281,Udachnyy,RU,2021-05-26 01:47:44,66.4167,112.4,51.85,53,17,10.2
282,Jalingo,NG,2021-05-26 01:47:45,8.8833,11.3667,81.19,65,100,6.13
283,Svetlogorsk,BY,2021-05-26 01:47:45,52.6333,29.7333,56.12,91,97,11.95
284,Iqaluit,CA,2021-05-26 01:47:45,63.7506,-68.5145,28.13,86,90,15.01
285,Gewane,ET,2021-05-26 01:47:46,10.1664,40.6453,80.87,30,87,5.53
286,Bambous Virieux,MU,2021-05-26 01:47:46,-20.3428,57.7575,70.21,94,40,8.5
287,Temir,KZ,2021-05-26 01:47:46,49.1414,57.13,76.01,36,5,3.85
288,Christchurch,NZ,2021-05-26 01:47:39,-43.5333,172.6333,53.01,76,16,8.01
289,Chuy,UY,2021-05-26 01:47:47,-33.6971,-53.4616,47.86,83,0,6.4
290,Mar Del Plata,AR,2021-05-26 01:43:40,-38.0023,-57.5575,47.23,68,0,8.01
291,Tilichiki,RU,2021-05-26 01:47:47,60.4667,166.1,42.71,62,99,14.16
292,Katsuura,JP,2021-05-26 01:47:47,35.1333,140.3,76.23,74,100,15.95
293,Maraa,BR,2021-05-26 01:47:48,-1.8333,-65.3667,74.1,98,100,2.01
294,Shar,KZ,2021-05-26 01:47:48,49.5886,81.0453,76.53,42,7,1.86
